Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MainBoard.PrjPcb|ReportField=ProjectFullPath~D:\Projekty w realizacji\Home automation\ROUND_PANEL\HARDWARE\MAINBOARD\MainBoard.PrjPcb|ReportField=Title~Bill of Materials For Project [MainBoard.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~143|ReportField=ReportTime~13:21:46|ReportField=ReportDate~24.06.2018|ReportField=ReportDateTime~24.06.2018 13:21:46|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~24.06.2018|ReportField=CurrentTime~13:21:45|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Projekty w realizacji\Home automation\ROUND_PANEL\HARDWARE\MAINBOARD\Accel.SchDoc|ReportField=DocumentName~Accel.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~24.06.2018|ReportField=Organization~|ReportField=ProjectName~MainBoard.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MainBoard.PrjPcb|ReportField=DataSourceFullPath~D:\Projekty w realizacji\Home automation\ROUND_PANEL\HARDWARE\MAINBOARD\MainBoard.PrjPcb
BAT|Li-Pol battery|BAT1|LI-ion battery 1100mAh|iPod_LiPol|1
100nF|Capacitor|C1, C3, C5, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C28, C29, C30, C31, C33, C34, C35, C37, C39, C41, C43, C44, C46, C47, C49, C51, C53, C54, C59, C62, C71, C73|C0603L|CAP|43
10uF|Capacitor|C2, C4, C6, C32, C36, C40, C50|C0805L|CAP|7
300pF|Capacitor|C9, C10|C0603L|CAP|2
33pF|Capacitor|C27|C0603L|CAP|1
1uF|Capacitor|C38, C42, C52|C0603L|CAP|3
10uF/6V|Polarized capacitor|C45|CAP_B|CAP_POL|1
100uF/6V|Polarized capacitor|C48|CAP_B|CAP_POL|1
8.2pF|Capacitor|C55, C56, C57, C58|C0603L|CAP|4
22nF/50V-X7R|Capacitor|C60, C72|C0603L|CAP|2
470nF/25V-X7R|Capacitor|C61, C70|C0603L|CAP|2
22uF/25V|Capacitor|C63|C0805L|CAP|1
18nF/50V-X7R|Capacitor|C64|C0603L|CAP|1
10nF/50V-X7R|Capacitor|C65, C69|C0603L|CAP|2
220nF/50V-X7R|Capacitor|C66|C0603L|CAP|1
180pF/50V-COG|Capacitor|C67|C0603L|CAP|1
2.2nF/50V-X7R|Capacitor|C68|C0603L|CAP|1
JUMPER|Jumper|CON1, CON2, CON5|0603_3|JUMPER3|3
NFC|Header, 2-Pin|CON3|HDR1X2_1mm27|Header 2|1
SWD|Header, 3-Pin, Dual row|CON4, CON12|HDR2x3_1mm27|Header 3X2|2
Battery|Header, 3-Pin|CON6|WN03R|Header 3|1
Header 2X2|Header, 2-Pin, Dual row|CON7, CON8, CON9, CON10, CON11|HDR2X2|Header 2X2|5
Header 2|Header, 2-Pin|CON13|HDR1X2|Header 2|1
D|DIODE|D1|D0805|D|1
EMI 300R/100MHz||L1|L0805|INDUCTOR|1
BLM18PG471SN1||L2|L0805|INDUCTOR|1
